geneid                                                       sourceOrg                           sourceseq                           sourceSO      direction  tsebegin   tseend     arabegin   araend    
LdonovaniBPK282A1_Ld34_v01s1_27                              LdonovaniBPK282A1                   Ld34_v01s1                          chromosome    -          1387611    1387683    1387610    1387683   
LdonovaniBPK282A1_Ld34_v01s1_28                              LdonovaniBPK282A1                   Ld34_v01s1                          chromosome    +          482821     482901     482821     482901    
LdonovaniBPK282A1_Ld34_v01s1_29                              LdonovaniBPK282A1                   Ld34_v01s1                          chromosome    -          482667     482746     482665     482746    
LdonovaniBPK282A1_Ld34_v01s1_30                              LdonovaniBPK282A1                   Ld34_v01s1                          chromosome    +          482561     482633     482561     482635    
LdonovaniBPK282A1_Ld34_v01s1_31                              LdonovaniBPK282A1                   Ld34_v01s1                          chromosome    +          482431     482504     482431     482505    
LdonovaniBPK282A1_Ld34_v01s1_32                              LdonovaniBPK282A1                   Ld34_v01s1                          chromosome    -          482133     482206     482132     482206    
LdonovaniBPK282A1_Ld33_v01s1_33                              LdonovaniBPK282A1                   Ld33_v01s1                          chromosome    -          490230     490302     490229     490302    
LdonovaniBPK282A1_Ld33_v01s1_34                              LdonovaniBPK282A1                   Ld33_v01s1                          chromosome    +          104842     104913     104842     104913    
LdonovaniBPK282A1_Ld33_v01s1_35                              LdonovaniBPK282A1                   Ld33_v01s1                          chromosome    -          104693     104765     104692     104765    
LdonovaniBPK282A1_Ld33_v01s1_36                              LdonovaniBPK282A1                   Ld33_v01s1                          chromosome    -          104561     104633     104560     104633    
LdonovaniBPK282A1_Ld31_v01s1_37                              LdonovaniBPK282A1                   Ld31_v01s1                          chromosome    -          1329656    1329736    1329655    1329736   
LdonovaniBPK282A1_Ld31_v01s1_38                              LdonovaniBPK282A1                   Ld31_v01s1                          chromosome    +          1329549    1329621    1329549    1329621   
LdonovaniBPK282A1_Ld31_v01s1_39                              LdonovaniBPK282A1                   Ld31_v01s1                          chromosome    -          495935     496006     495935     496006    
LdonovaniBPK282A1_Ld31_v01s1_40                              LdonovaniBPK282A1                   Ld31_v01s1                          chromosome    +          495813     495883     495813     495885    
LdonovaniBPK282A1_Ld31_v01s1_41                              LdonovaniBPK282A1                   Ld31_v01s1                          chromosome    +          209170     209242     209170     209244    
LdonovaniBPK282A1_Ld30_v01s1_42                              LdonovaniBPK282A1                   Ld30_v01s1                          chromosome    -          761888     761959     761888     761959    
LdonovaniBPK282A1_Ld29_v01s1_43                              LdonovaniBPK282A1                   Ld29_v01s1                          chromosome    -          845125     845205     845125     845205    
LdonovaniBPK282A1_Ld29_v01s1_44                              LdonovaniBPK282A1                   Ld29_v01s1                          chromosome    -          844984     845065     844983     845065    
LdonovaniBPK282A1_Ld24_v01s1_45                              LdonovaniBPK282A1                   Ld24_v01s1                          chromosome    -          715730     715801     715730     715801    
LdonovaniBPK282A1_Ld24_v01s1_46                              LdonovaniBPK282A1                   Ld24_v01s1                          chromosome    +          659246     659319     659246     659320    
LdonovaniBPK282A1_Ld24_v01s1_47                              LdonovaniBPK282A1                   Ld24_v01s1                          chromosome    -          659078     659159     659075     659159    
LdonovaniBPK282A1_Ld24_v01s1_48                              LdonovaniBPK282A1                   Ld24_v01s1                          chromosome    +          658796     658867     658796     658868    
LdonovaniBPK282A1_Ld24_v01s1_49                              LdonovaniBPK282A1                   Ld24_v01s1                          chromosome    +          216780     216851     216780     216851    
LdonovaniBPK282A1_Ld23_v01s1_50                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    +          230585     230656     230585     230656    
LdonovaniBPK282A1_Ld23_v01s1_51                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    -          230438     230509     230437     230509    
LdonovaniBPK282A1_Ld23_v01s1_52                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    +          230316     230388     230315     230389    
LdonovaniBPK282A1_Ld23_v01s1_53                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    +          229930     230001     229930     230001    
LdonovaniBPK282A1_Ld23_v01s1_54                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    -          229786     229857     229785     229858    
LdonovaniBPK282A1_Ld23_v01s1_55                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    -          229646     229728     229643     229729    
LdonovaniBPK282A1_Ld23_v01s1_56                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    -          229352     229423     229351     229424    
LdonovaniBPK282A1_Ld23_v01s1_57                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    -          229039     229110     229038     229110    
LdonovaniBPK282A1_Ld23_v01s1_58                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    -          228898     228970     228898     228970    
LdonovaniBPK282A1_Ld23_v01s1_59                              LdonovaniBPK282A1                   Ld23_v01s1                          chromosome    +          228780     228853     228780     228854    
LdonovaniBPK282A1_Ld21_v01s1_60                              LdonovaniBPK282A1                   Ld21_v01s1                          chromosome    +          448030     448102     448030     448103    
LdonovaniBPK282A1_Ld21_v01s1_61                              LdonovaniBPK282A1                   Ld21_v01s1                          chromosome    +          447893     447966     447893     447967    
LdonovaniBPK282A1_Ld21_v01s1_62                              LdonovaniBPK282A1                   Ld21_v01s1                          chromosome    +          447690     447761     447690     447761    
LdonovaniBPK282A1_Ld21_v01s1_63                              LdonovaniBPK282A1                   Ld21_v01s1                          chromosome    -          163818     163898     163818     163898    
LdonovaniBPK282A1_Ld17_v01s1_64                              LdonovaniBPK282A1                   Ld17_v01s1                          chromosome    +          329127     329199     329126     329201    
LdonovaniBPK282A1_Ld17_v01s1_65                              LdonovaniBPK282A1                   Ld17_v01s1                          chromosome    +          328986     329066     328986     329067    
LdonovaniBPK282A1_Ld17_v01s1_66                              LdonovaniBPK282A1                   Ld17_v01s1                          chromosome    -          328838     328909     328837     328909    
LdonovaniBPK282A1_Ld16_v01s1_67                              LdonovaniBPK282A1                   Ld16_v01s1                          chromosome    -          445957     446028     445955     446029    
LdonovaniBPK282A1_Ld15_v01s1_68                              LdonovaniBPK282A1                   Ld15_v01s1                          chromosome    -          312872     312943     312872     312943    
LdonovaniBPK282A1_Ld15_v01s1_69                              LdonovaniBPK282A1                   Ld15_v01s1                          chromosome    +          312760     312831     312760     312832    
LdonovaniBPK282A1_Ld11_v01s1_70                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    +          372396     372467     372395     372468    
LdonovaniBPK282A1_Ld11_v01s1_71                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    +          371849     371920     371848     371921    
LdonovaniBPK282A1_Ld11_v01s1_72                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    -          371701     371773     371701     371773    
LdonovaniBPK282A1_Ld11_v01s1_73                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    +          208055     208125     208055     208125    
LdonovaniBPK282A1_Ld11_v01s1_74                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    +          207925     207996     207925     207997    
LdonovaniBPK282A1_Ld11_v01s1_75                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    -          207770     207851     207770     207851    
LdonovaniBPK282A1_Ld11_v01s1_76                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    +          157196     157267     157196     157268    
LdonovaniBPK282A1_Ld11_v01s1_77                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    +          156862     156933     156862     156934    
LdonovaniBPK282A1_Ld11_v01s1_78                              LdonovaniBPK282A1                   Ld11_v01s1                          chromosome    -          156707     156788     156707     156788    
LdonovaniBPK282A1_Ld10_v01s1_79                              LdonovaniBPK282A1                   Ld10_v01s1                          chromosome    -          520095     520167     520095     520167    
LdonovaniBPK282A1_Ld10_v01s1_80                              LdonovaniBPK282A1                   Ld10_v01s1                          chromosome    -          519965     520035     519965     520035    
LdonovaniBPK282A1_Ld10_v01s1_81                              LdonovaniBPK282A1                   Ld10_v01s1                          chromosome    +          519824     519896     519824     519897    
LdonovaniBPK282A1_Ld09_v01s1_82                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    +          430404     430474     430404     430474    
LdonovaniBPK282A1_Ld09_v01s1_83                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    +          430266     430337     430266     430338    
LdonovaniBPK282A1_Ld09_v01s1_84                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    -          430120     430192     430117     430193    
LdonovaniBPK282A1_Ld09_v01s1_85                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    -          429810     429881     429810     429881    
LdonovaniBPK282A1_Ld09_v01s1_86                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    -          417654     417726     417654     417726    
LdonovaniBPK282A1_Ld09_v01s1_87                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    +          417405     417475     417405     417475    
LdonovaniBPK282A1_Ld09_v01s1_88                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    +          417090     417162     417089     417165    
LdonovaniBPK282A1_Ld09_v01s1_89                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    +          284079     284161     284079     284162    
LdonovaniBPK282A1_Ld09_v01s1_90                              LdonovaniBPK282A1                   Ld09_v01s1                          chromosome    +          283949     284020     283949     284020    
LdonovaniBPK282A1_Ld07_v01s1_91                              LdonovaniBPK282A1                   Ld07_v01s1                          chromosome    -          380004     380075     380004     380075    
LdonovaniBPK282A1_Ld06_v01s1_92                              LdonovaniBPK282A1                   Ld06_v01s1                          chromosome    -          70020      70107      70020      70107     
LdonovaniBPK282A1_Ld05_v01s1_93                              LdonovaniBPK282A1                   Ld05_v01s1                          chromosome    +          361082     361153     361082     361155    
LdonovaniBPK282A1_Ld03_v01s1_94                              LdonovaniBPK282A1                   Ld03_v01s1                          chromosome    +          261126     261198     261126     261198    
LenriettiiLEM3045_LenLEM3045_36_1                            LenriettiiLEM3045                   LenLEM3045_36                       notfound      -          466832     466915     -1         -1        
LenriettiiLEM3045_LenLEM3045_36_2                            LenriettiiLEM3045                   LenLEM3045_36                       notfound      +          467146     467229     -1         -1        
LenriettiiLEM3045_LenLEM3045_34_3                            LenriettiiLEM3045                   LenLEM3045_34                       chromosome    +          -1         -1         717528     717619    
LenriettiiLEM3045_LenLEM3045_16_4                            LenriettiiLEM3045                   LenLEM3045_16                       chromosome    -          -1         -1         207454     207543    
LenriettiiLEM3045_LenLEM3045_09_5                            LenriettiiLEM3045                   LenLEM3045_09                       chromosome    -          -1         -1         23014      23108     
LenriettiiLEM3045_LenLEM3045_04_6                            LenriettiiLEM3045                   LenLEM3045_04                       chromosome    +          -1         -1         278906     278999    
LenriettiiLEM3045_LenLEM3045_02_7                            LenriettiiLEM3045                   LenLEM3045_02                       chromosome    -          -1         -1         117998     118091    
LenriettiiLEM3045_LenLEM3045_36_8                            LenriettiiLEM3045                   LenLEM3045_36                       chromosome    +          2388513    2388584    2388513    2388584   
LenriettiiLEM3045_LenLEM3045_36_9                            LenriettiiLEM3045                   LenLEM3045_36                       chromosome    -          2388369    2388440    2388369    2388440   
LenriettiiLEM3045_LenLEM3045_36_10                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    -          2388228    2388309    2388226    2388309   
LenriettiiLEM3045_LenLEM3045_36_11                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    +          2387359    2387430    2387359    2387430   
LenriettiiLEM3045_LenLEM3045_36_12                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    -          1558858    1558929    1558856    1558929   
LenriettiiLEM3045_LenLEM3045_36_13                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    +          1002087    1002158    1002087    1002158   
LenriettiiLEM3045_LenLEM3045_36_14                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    -          1001943    1002013    1001942    1002013   
LenriettiiLEM3045_LenLEM3045_36_15                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    +          1001681    1001752    1001681    1001752   
LenriettiiLEM3045_LenLEM3045_36_16                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    +          1001543    1001613    1001543    1001614   
LenriettiiLEM3045_LenLEM3045_36_17                           LenriettiiLEM3045                   LenLEM3045_36                       chromosome    -          466995     467066     466995     467066    
LenriettiiLEM3045_LenLEM3045_34_18                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    +          1212065    1212137    1212065    1212137   
LenriettiiLEM3045_LenLEM3045_34_19                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    +          1211930    1212001    1211930    1212001   
LenriettiiLEM3045_LenLEM3045_34_20                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    -          1211775    1211846    1211773    1211846   
LenriettiiLEM3045_LenLEM3045_34_21                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    -          1211623    1211706    1211623    1211706   
LenriettiiLEM3045_LenLEM3045_34_22                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    -          1211487    1211559    1211487    1211559   
LenriettiiLEM3045_LenLEM3045_34_23                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    +          401907     401987     401907     401987    
LenriettiiLEM3045_LenLEM3045_34_24                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    -          401753     401832     401751     401832    
LenriettiiLEM3045_LenLEM3045_34_25                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    +          401626     401698     401626     401698    
LenriettiiLEM3045_LenLEM3045_34_26                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    +          401492     401565     401492     401565    
LenriettiiLEM3045_LenLEM3045_34_27                           LenriettiiLEM3045                   LenLEM3045_34                       chromosome    -          401171     401244     401170     401244    
LenriettiiLEM3045_LenLEM3045_33_28                           LenriettiiLEM3045                   LenLEM3045_33                       chromosome    -          479171     479243     479170     479243    
LenriettiiLEM3045_LenLEM3045_33_29                           LenriettiiLEM3045                   LenLEM3045_33                       chromosome    +          107575     107646     107575     107646    
LenriettiiLEM3045_LenLEM3045_33_30                           LenriettiiLEM3045                   LenLEM3045_33                       chromosome    -          107427     107499     107426     107499    
LenriettiiLEM3045_LenLEM3045_33_31                           LenriettiiLEM3045                   LenLEM3045_33                       chromosome    -          107298     107370     107294     107371    
LenriettiiLEM3045_LenLEM3045_31_32                           LenriettiiLEM3045                   LenLEM3045_31                       chromosome    -          362866     362946     362865     362946    
LenriettiiLEM3045_LenLEM3045_31_33                           LenriettiiLEM3045                   LenLEM3045_31                       chromosome    +          362739     362811     362739     362811    
LenriettiiLEM3045_LenLEM3045_31_34                           LenriettiiLEM3045                   LenLEM3045_31                       chromosome    -          162400     162471     162398     162471    
LenriettiiLEM3045_LenLEM3045_31_35                           LenriettiiLEM3045                   LenLEM3045_31                       chromosome    +          162276     162346     162276     162348    
LenriettiiLEM3045_LenLEM3045_31_36                           LenriettiiLEM3045                   LenLEM3045_31                       chromosome    +          98759      98831      98759      98833     
LenriettiiLEM3045_LenLEM3045_30_37                           LenriettiiLEM3045                   LenLEM3045_30                       chromosome    -          732810     732881     732810     732881    
LenriettiiLEM3045_LenLEM3045_29_38                           LenriettiiLEM3045                   LenLEM3045_29                       chromosome    -          755929     756009     755927     756009    
LenriettiiLEM3045_LenLEM3045_29_39                           LenriettiiLEM3045                   LenLEM3045_29                       chromosome    -          755792     755873     755791     755873    
LenriettiiLEM3045_LenLEM3045_24_40                           LenriettiiLEM3045                   LenLEM3045_24                       chromosome    -          663706     663777     663706     663777    
LenriettiiLEM3045_LenLEM3045_24_41                           LenriettiiLEM3045                   LenLEM3045_24                       chromosome    +          606201     606274     606201     606274    
LenriettiiLEM3045_LenLEM3045_24_42                           LenriettiiLEM3045                   LenLEM3045_24                       chromosome    +          605167     605240     605167     605241    
LenriettiiLEM3045_LenLEM3045_24_43                           LenriettiiLEM3045                   LenLEM3045_24                       chromosome    -          605005     605086     605004     605087    
LenriettiiLEM3045_LenLEM3045_24_44                           LenriettiiLEM3045                   LenLEM3045_24                       chromosome    +          604775     604846     604774     604848    
LenriettiiLEM3045_LenLEM3045_24_45                           LenriettiiLEM3045                   LenLEM3045_24                       chromosome    +          195106     195177     195106     195177    
LenriettiiLEM3045_LenLEM3045_23_46                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    +          212328     212399     212328     212399    
LenriettiiLEM3045_LenLEM3045_23_47                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    -          212182     212253     212181     212253    
LenriettiiLEM3045_LenLEM3045_23_48                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    +          212049     212121     212049     212121    
LenriettiiLEM3045_LenLEM3045_23_49                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    +          211661     211732     211660     211734    
LenriettiiLEM3045_LenLEM3045_23_50                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    -          211517     211588     211516     211589    
LenriettiiLEM3045_LenLEM3045_23_51                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    -          211366     211448     211366     211448    
LenriettiiLEM3045_LenLEM3045_23_52                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    -          211069     211140     211067     211140    
LenriettiiLEM3045_LenLEM3045_23_53                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    -          210733     210804     210733     210804    
LenriettiiLEM3045_LenLEM3045_23_54                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    -          210593     210665     210593     210665    
LenriettiiLEM3045_LenLEM3045_23_55                           LenriettiiLEM3045                   LenLEM3045_23                       chromosome    +          210475     210548     210475     210548    
LenriettiiLEM3045_LenLEM3045_21_56                           LenriettiiLEM3045                   LenLEM3045_21                       chromosome    +          405727     405799     405727     405800    
LenriettiiLEM3045_LenLEM3045_21_57                           LenriettiiLEM3045                   LenLEM3045_21                       chromosome    +          405588     405661     405588     405662    
LenriettiiLEM3045_LenLEM3045_21_58                           LenriettiiLEM3045                   LenLEM3045_21                       chromosome    +          405388     405459     405388     405460    
LenriettiiLEM3045_LenLEM3045_21_59                           LenriettiiLEM3045                   LenLEM3045_21                       chromosome    -          146187     146267     146187     146267    
LenriettiiLEM3045_LenLEM3045_17_60                           LenriettiiLEM3045                   LenLEM3045_17                       chromosome    +          269184     269256     269184     269256    
LenriettiiLEM3045_LenLEM3045_17_61                           LenriettiiLEM3045                   LenLEM3045_17                       chromosome    +          269043     269123     269043     269123    
LenriettiiLEM3045_LenLEM3045_17_62                           LenriettiiLEM3045                   LenLEM3045_17                       chromosome    -          268894     268965     268894     268965    
LenriettiiLEM3045_LenLEM3045_15_63                           LenriettiiLEM3045                   LenLEM3045_15                       chromosome    -          297341     297412     297339     297412    
LenriettiiLEM3045_LenLEM3045_15_64                           LenriettiiLEM3045                   LenLEM3045_15                       chromosome    +          297224     297295     297224     297296    
LenriettiiLEM3045_LenLEM3045_11_65                           LenriettiiLEM3045                   LenLEM3045_11                       chromosome    +          389889     389960     389889     389960    
LenriettiiLEM3045_LenLEM3045_11_66                           LenriettiiLEM3045                   LenLEM3045_11                       chromosome    -          389713     389785     389713     389785    
LenriettiiLEM3045_LenLEM3045_11_67                           LenriettiiLEM3045                   LenLEM3045_11                       chromosome    +          180132     180213     180132     180214    
LenriettiiLEM3045_LenLEM3045_11_68                           LenriettiiLEM3045                   LenLEM3045_11                       chromosome    -          179987     180058     179986     180058    
LenriettiiLEM3045_LenLEM3045_11_69                           LenriettiiLEM3045                   LenLEM3045_11                       chromosome    +          173573     173643     173573     173644    
LenriettiiLEM3045_LenLEM3045_11_70                           LenriettiiLEM3045                   LenLEM3045_11                       chromosome    +          173445     173516     173445     173517    
LenriettiiLEM3045_LenLEM3045_11_71                           LenriettiiLEM3045                   LenLEM3045_11                       chromosome    -          173290     173371     173289     173371    
LenriettiiLEM3045_LenLEM3045_10_72                           LenriettiiLEM3045                   LenLEM3045_10                       chromosome    -          483066     483138     483066     483138    
LenriettiiLEM3045_LenLEM3045_10_73                           LenriettiiLEM3045                   LenLEM3045_10                       chromosome    +          482859     482931     482859     482932    
LenriettiiLEM3045_LenLEM3045_09_74                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    +          407915     407985     407915     407986    
LenriettiiLEM3045_LenLEM3045_09_75                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    +          407777     407848     407777     407849    
LenriettiiLEM3045_LenLEM3045_09_76                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    -          407630     407702     407629     407702    
LenriettiiLEM3045_LenLEM3045_09_77                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    -          407296     407366     407295     407366    
LenriettiiLEM3045_LenLEM3045_09_78                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    +          407050     407122     407050     407122    
LenriettiiLEM3045_LenLEM3045_09_79                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    +          393875     393946     393875     393946    
LenriettiiLEM3045_LenLEM3045_09_80                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    +          393552     393624     393552     393625    
LenriettiiLEM3045_LenLEM3045_09_81                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    -          346949     347020     346949     347020    
LenriettiiLEM3045_LenLEM3045_09_82                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    +          261112     261194     261112     261195    
LenriettiiLEM3045_LenLEM3045_09_83                           LenriettiiLEM3045                   LenLEM3045_09                       chromosome    +          260980     261051     260980     261051    
LenriettiiLEM3045_LenLEM3045_07_84                           LenriettiiLEM3045                   LenLEM3045_07                       chromosome    -          377392     377463     377391     377463    
LenriettiiLEM3045_LenLEM3045_06_85                           LenriettiiLEM3045                   LenLEM3045_06                       chromosome    -          68836      68923      68833      68923     
LenriettiiLEM3045_LenLEM3045_05_86                           LenriettiiLEM3045                   LenLEM3045_05                       chromosome    +          352674     352745     352674     352745    
LenriettiiLEM3045_LenLEM3045_03_87                           LenriettiiLEM3045                   LenLEM3045_03                       chromosome    +          252119     252191     252119     252192    
LgerbilliLEM452_LgeLEM452_32_1                               LgerbilliLEM452                     LgeLEM452_32                        chromosome    +          -1         -1         1407016    1407104   
LgerbilliLEM452_LgeLEM452_23_2                               LgerbilliLEM452                     LgeLEM452_23                        chromosome    -          -1         -1         458501     458585    
LgerbilliLEM452_LgeLEM452_16_3                               LgerbilliLEM452                     LgeLEM452_16                        chromosome    -          -1         -1         672322     672415    
LgerbilliLEM452_LgeLEM452_03_4                               LgerbilliLEM452                     LgeLEM452_03                        chromosome    -          -1         -1         291695     291793    
LgerbilliLEM452_LgeLEM452_02_5                               LgerbilliLEM452                     LgeLEM452_02                        chromosome    +          -1         -1         197853     197944    
LgerbilliLEM452_LGELEM452_SCAF000082_6                       LgerbilliLEM452                     LGELEM452_SCAF000082                supercontig   +          659        730        659        731       
LgerbilliLEM452_LGELEM452_SCAF000082_7                       LgerbilliLEM452                     LGELEM452_SCAF000082                supercontig   -          502        582        501        582       
LgerbilliLEM452_LGELEM452_SCAF000082_8                       LgerbilliLEM452                     LGELEM452_SCAF000082                supercontig   -          370        442        368        443       
LgerbilliLEM452_LGELEM452_SCAF000066_9                       LgerbilliLEM452                     LGELEM452_SCAF000066                supercontig   -          558        628        558        628       
LgerbilliLEM452_LGELEM452_SCAF000066_10                      LgerbilliLEM452                     LGELEM452_SCAF000066                supercontig   +          444        515        444        515       
LgerbilliLEM452_LGELEM452_SCAF000007_11                      LgerbilliLEM452                     LGELEM452_SCAF000007                supercontig   +          10733      10806      10733      10807     
LgerbilliLEM452_LGELEM452_SCAF000007_12                      LgerbilliLEM452                     LGELEM452_SCAF000007                supercontig   -          10437      10510      10436      10510     
LgerbilliLEM452_LGELEM452_SCAF000007_13                      LgerbilliLEM452                     LGELEM452_SCAF000007                supercontig   -          10301      10373      10299      10373     
LgerbilliLEM452_LGELEM452_SCAF000007_14                      LgerbilliLEM452                     LGELEM452_SCAF000007                supercontig   +          10191      10270      10191      10272     
LgerbilliLEM452_LGELEM452_SCAF000007_15                      LgerbilliLEM452                     LGELEM452_SCAF000007                supercontig   -          10036      10116      10036      10116     
LgerbilliLEM452_LgeLEM452_36_16                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    +          2425502    2425573    2425502    2425575   
LgerbilliLEM452_LgeLEM452_36_17                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    -          2425359    2425430    2425359    2425430   
LgerbilliLEM452_LgeLEM452_36_18                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    -          2425214    2425295    2425213    2425295   
LgerbilliLEM452_LgeLEM452_36_19                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    +          2424369    2424440    2424369    2424442   
LgerbilliLEM452_LgeLEM452_36_20                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    -          1573497    1573568    1573495    1573569   
LgerbilliLEM452_LgeLEM452_36_21                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    +          1000760    1000831    1000760    1000832   
LgerbilliLEM452_LgeLEM452_36_22                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    -          1000616    1000686    1000616    1000686   
LgerbilliLEM452_LgeLEM452_36_23                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    -          1000480    1000551    1000480    1000551   
LgerbilliLEM452_LgeLEM452_36_24                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    +          999755     999825     999755     999825    
LgerbilliLEM452_LgeLEM452_36_25                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    -          477600     477671     477599     477671    
LgerbilliLEM452_LgeLEM452_36_26                              LgerbilliLEM452                     LgeLEM452_36                        chromosome    -          477438     477521     477437     477521    
LgerbilliLEM452_LgeLEM452_34_27                              LgerbilliLEM452                     LgeLEM452_34                        chromosome    +          1159796    1159868    1159796    1159869   
LgerbilliLEM452_LgeLEM452_34_28                              LgerbilliLEM452                     LgeLEM452_34                        chromosome    +          1159663    1159734    1159663    1159734   
LgerbilliLEM452_LgeLEM452_34_29                              LgerbilliLEM452                     LgeLEM452_34                        chromosome    -          1159510    1159581    1159510    1159581   
LgerbilliLEM452_LgeLEM452_34_30                              LgerbilliLEM452                     LgeLEM452_34                        chromosome    -          1159364    1159447    1159362    1159447   
LgerbilliLEM452_LgeLEM452_34_31                              LgerbilliLEM452                     LgeLEM452_34                        chromosome    -          1159237    1159309    1159236    1159309   
LgerbilliLEM452_LgeLEM452_33_32                              LgerbilliLEM452                     LgeLEM452_33                        chromosome    -          481282     481354     481281     481354    
LgerbilliLEM452_LgeLEM452_33_33                              LgerbilliLEM452                     LgeLEM452_33                        chromosome    +          102103     102174     102103     102175    
LgerbilliLEM452_LgeLEM452_33_34                              LgerbilliLEM452                     LgeLEM452_33                        chromosome    -          101954     102026     101953     102026    
LgerbilliLEM452_LgeLEM452_33_35                              LgerbilliLEM452                     LgeLEM452_33                        chromosome    -          101822     101894     101821     101894    
LgerbilliLEM452_LgeLEM452_31_36                              LgerbilliLEM452                     LgeLEM452_31                        chromosome    -          1107614    1107694    1107613    1107694   
LgerbilliLEM452_LgeLEM452_31_37                              LgerbilliLEM452                     LgeLEM452_31                        chromosome    +          1107489    1107561    1107489    1107561   
LgerbilliLEM452_LgeLEM452_31_38                              LgerbilliLEM452                     LgeLEM452_31                        chromosome    +          183982     184054     183982     184056    
LgerbilliLEM452_LgeLEM452_30_39                              LgerbilliLEM452                     LgeLEM452_30                        chromosome    -          763464     763535     763464     763535    
LgerbilliLEM452_LgeLEM452_29_40                              LgerbilliLEM452                     LgeLEM452_29                        chromosome    -          818488     818568     818488     818568    
LgerbilliLEM452_LgeLEM452_29_41                              LgerbilliLEM452                     LgeLEM452_29                        chromosome    -          818349     818430     818349     818430    
LgerbilliLEM452_LgeLEM452_24_42                              LgerbilliLEM452                     LgeLEM452_24                        chromosome    -          705633     705704     705633     705704    
LgerbilliLEM452_LgeLEM452_24_43                              LgerbilliLEM452                     LgeLEM452_24                        chromosome    +          647303     647376     647303     647377    
